"Country or Area","Year","Value","Value Footnotes"
"Brazil","1977","0",""
"Brazil","1972","0",""
"Brazil","1967","0",""
"Brazil","1962","0",""
"Brunei Darussalam","2012","1760",""
"Brunei Darussalam","2007","3516",""
"Brunei Darussalam","2002","3516",""
"Brunei Darussalam","1997","2819",""
"Brunei Darussalam","1992","1086",""
"Brunei Darussalam","1987","4",""
"Brunei Darussalam","1982","1633",""
"Brunei Darussalam","1977","5450",""
"Brunei Darussalam","1972","7894",""
"Brunei Darussalam","1967","10689",""
"Brunei Darussalam","1962","5203",""
"Bulgaria","2012","-50000",""
"Bulgaria","2007","-83002",""
"Bulgaria","2002","-83002",""
"Bulgaria","1997","-106602",""
"Bulgaria","1992","-356464",""
"Bulgaria","1987","-184143",""
"Bulgaria","1982","-22346",""
"Bulgaria","1977","-94868",""
"Bulgaria","1972","-43396",""
"Bulgaria","1967","-6423",""
"Bulgaria","1962","-1437",""
"Burkina Faso","2012","-125000",""
"Burkina Faso","2007","-125000",""
"Burkina Faso","2002","-125000",""
"Burkina Faso","1997","-137499",""
"Burkina Faso","1992","-150001",""
"Burkina Faso","1987","-183699",""
"Burkina Faso","1982","-217400",""
"Burkina Faso","1977","-217400",""
"Burkina Faso","1972","-170263",""
"Burkina Faso","1967","-144723",""
"Burkina Faso","1962","-144723",""
"Burundi","2012","-20001",""
"Burundi","2007","163733",""
"Burundi","2002","112532",""
"Burundi","1997","-404999",""
"Burundi","1992","-250000",""
"Burundi","1987","-44320",""
"Burundi","1982","-86002",""
"Burundi","1977","-150288",""
"Burundi","1972","-260594",""
"Burundi","1967","-57900",""
"Burundi","1962","-84989",""
"Cambodia","2012","-174997",""
"Cambodia","2007","-372904",""
"Cambodia","2002","-73009",""
"Cambodia","1997","290309",""
"Cambodia","1992","409414",""
"Cambodia","1987","-78022",""
"Cambodia","1982","-88854",""
"Cambodia","1977","-84999",""
"Cambodia","1972","-125000",""
"Cambodia","1967","-225001",""
"Cambodia","1962","0",""
"Cameroon","2012","-50000",""
"Cameroon","2007","-70000",""
"Cameroon","2002","-80000",""
"Cameroon","1997","-80000",""
"Cameroon","1992","-80000",""
"Cameroon","1987","-65000",""
"Cameroon","1982","-55000",""
"Cameroon","1977","-8000",""
"Cameroon","1972","-2500",""
"Cameroon","1967","-1000",""
"Cameroon","1962","0",""
"Canada","2012","1099999",""
"Canada","2007","1251505",""
"Canada","2002","1028825",""
"Canada","1997","761611",""
"Canada","1992","698764",""
"Canada","1987","875013",""
"Canada","1982","376129",""
"Canada","1977","438027",""
"Canada","1972","771526",""
"Canada","1967","608528",""
"Canada","1962","173215",""
"Cape Verde","2012","-17215",""
"Cape Verde","2007","-31280",""
"Cape Verde","2002","-10925",""
"Cape Verde","1997","-9437",""
"Cape Verde","1992","-6376",""
"Cape Verde","1987","-34010",""
"Cape Verde","1982","-20313",""
"Cape Verde","1977","-57090",""
"Cape Verde","1972","-3551",""
"Cape Verde","1967","1865",""
"Cape Verde","1962","-267",""
"Caribbean small states","2012","-122794",""
"Caribbean small states","2007","-132563",""
"Caribbean small states","2002","-109893",""
"Caribbean small states","1997","-152829",""
"Caribbean small states","1992","-221421",""
"Caribbean small states","1987","-330622",""
"Caribbean small states","1982","-265958",""
"Caribbean small states","1977","-300405",""
"Caribbean small states","1972","-300926",""
"Caribbean small states","1967","-276558",""
"Caribbean small states","1962","-248673",""
"Central African Republic","2012","10000",""
"Central African Republic","2007","5000",""
"Central African Republic","2002","-45000",""
"Central African Republic","1997","11293",""
"Central African Republic","1992","37392",""
"Central African Republic","1987","-40982",""
"Central African Republic","1982","40165",""
"Central African Republic","1977","-1000",""
"Central African Republic","1972","-20075",""
"Central African Republic","1967","13145",""
"Central African Republic","1962","11930",""
"Chad","2012","-120000",""
"Chad","2007","-50000",""
"Chad","2002","218966",""
"Chad","1997","69444",""
"Chad","1992","-10374",""
"Chad","1987","1418",""
"Chad","1982","-131245",""
"Chad","1977","-175500",""
"Chad","1972","-49050",""
"Chad","1967","-40950",""
"Chad","1962","-5000",""
"Channel Islands","2012","3654",""
"Channel Islands","2007","4479",""
"Channel Islands","2002","4592",""
"Channel Islands","1997","3778",""
"Channel Islands","1992","2120",""
"Channel Islands","1987","6085",""
"Channel Islands","1982","5380",""
"Channel Islands","1977","1726",""
"Channel Islands","1972","4250",""
"Channel Islands","1967","3880",""
"Channel Islands","1962","2934",""
"Chile","2012","30000",""
"Chile","2007","30000",""
"Chile","2002","30000",""
"Chile","1997","60000",""
"Chile","1992","90000",""
"Chile","1987","-40000",""
"Chile","1982","-60000",""
"Chile","1977","-80000",""
"Chile","1972","-80000",""
"Chile","1967","-33000",""
"Chile","1962","-33000",""
"China","2012","-1500000",""
"China","2007","-1884105",""
"China","2002","-2298054",""
"China","1997","-607000",""
"China","1992","-823657",""
"China","1987","-236255",""
"China","1982","-258072",""
"China","1977","-428313",""
"China","1972","-1113125",""
"China","1967","-12737",""
"China","1962","-1058830",""
"Colombia","2012","-120000",""
"Colombia","2007","-120000",""
"Colombia","2002","-120000",""
"Colombia","1997","-150000",""
"Colombia","1992","-250000",""
"Colombia","1987","-235000",""
"Colombia","1982","-246000",""
"Colombia","1977","-272003",""
"Colombia","1972","-280000",""
"Colombia","1967","-280000",""
"Colombia","1962","-250000",""
"Comoros","2012","-10000",""
"Comoros","2007","-10000",""
"Comoros","2002","-10000",""
"Comoros","1997","-6000",""
"Comoros","1992","-3000",""
"Comoros","1987","-4500",""
"Comoros","1982","-4500",""
"Comoros","1977","10000",""
"Comoros","1972","-5500",""
"Comoros","1967","-5500",""
"Comoros","1962","-8491",""
"Congo, Dem. Rep.","2012","-75000",""
"Congo, Dem. Rep.","2007","-23975",""
"Congo, Dem. Rep.","2002","-241564",""
"Congo, Dem. Rep.","1997","-1500956",""
"Congo, Dem. Rep.","1992","1202380",""
"Congo, Dem. Rep.","1987","74743",""
"Congo, Dem. Rep.","1982","-346860",""
"Congo, Dem. Rep.","1977","100685",""
"Congo, Dem. Rep.","1972","27450",""
"Congo, Dem. Rep.","1967","241910",""
"Congo, Dem. Rep.","1962","122650",""
"Congo, Rep.","2012","-45363",""
"Congo, Rep.","2007","49872",""
"Congo, Rep.","2002","-13257",""
"Congo, Rep.","1997","35300",""
"Congo, Rep.","1992","15531",""
"Congo, Rep.","1987","1145",""
"Congo, Rep.","1982","2097",""
"Congo, Rep.","1977","-7408",""
"Congo, Rep.","1972","6945",""
"Congo, Rep.","1967","500",""
"Congo, Rep.","1962","0",""
"Costa Rica","2012","64260",""
"Costa Rica","2007","75600",""
"Costa Rica","2002","84000",""
"Costa Rica","1997","127521",""
"Costa Rica","1992","62368",""
"Costa Rica","1987","25043",""
"Costa Rica","1982","31229",""
"Costa Rica","1977","27017",""
"Costa Rica","1972","0",""
"Costa Rica","1967","0",""
"Costa Rica","1962","0",""
"Cote d&apos;Ivoire","2012","50000",""
"Cote d&apos;Ivoire","2007","-290000",""
"Cote d&apos;Ivoire","2002","-420000",""
"Cote d&apos;Ivoire","1997","180000",""
"Cote d&apos;Ivoire","1992","375000",""
"Cote d&apos;Ivoire","1987","325000",""
"Cote d&apos;Ivoire","1982","430000",""
"Cote d&apos;Ivoire","1977","420000",""
"Cote d&apos;Ivoire","1972","400000",""
"Cote d&apos;Ivoire","1967","300000",""
"Cote d&apos;Ivoire","1962","200000",""
"Croatia","2012","-20000",""
"Croatia","2007","-352",""
"Croatia","2002","-29977",""
"Croatia","1997","-200997",""
"Croatia","1992","-93438",""
"Croatia","1987","149154",""
"Croatia","1982","71629",""
"Croatia","1977","9851",""
"Croatia","1972","-153",""
"Croatia","1967","-72807",""
"Croatia","1962","-71881",""
"Cuba","2012","-140000",""
"Cuba","2007","-190123",""
"Cuba","2002","-142500",""
"Cuba","1997","-155801",""
"Cuba","1992","-114004",""
"Cuba","1987","-66501",""
"Cuba","1982","-256502",""
"Cuba","1977","-160000",""
"Cuba","1972","-190000",""
"Cuba","1967","-250000",""
"Cuba","1962","-205000",""
"Curacao","2012","14054",""
"Curacao","2007","15363",""
"Curacao","2002","-6070",""
"Curacao","1997","-17077",""
"Curacao","1992","-11517",""
"Curacao","1987","-14547",""
"Curacao","1982","-8464",""
"Curacao","1977","-13251",""
"Curacao","1972","-5000",""
"Curacao","1967","-4526",""
"Curacao","1962","-7752",""
"Cyprus","2012","35000",""
"Cyprus","2007","44166",""
"Cyprus","2002","61830",""
"Cyprus","1997","53260",""
"Cyprus","1992","43195",""
"Cyprus","1987","17167",""
"Cyprus","1982","-27634",""
"Cyprus","1977","-1215",""
"Cyprus","1972","3053",""
"Cyprus","1967","-7843",""
"Cyprus","1962","-43025",""
"Czech Republic","2012","199999",""
"Czech Republic","2007","300397",""
"Czech Republic","2002","67480",""
"Czech Republic","1997","31804",""
"Czech Republic","1992","29712",""
"Czech Republic","1987","-19672",""
"Czech Republic","1982","-28182",""
"Czech Republic","1977","19746",""
"Czech Republic","1972","-10566",""
"Czech Republic","1967","-46552",""
"Czech Republic","1962","-56586",""
"Denmark","2012","74999",""
"Denmark","2007","87989",""
"Denmark","2002","46306",""
"Denmark","1997","74568",""
"Denmark","1992","65466",""
"Denmark","1987","32839",""
"Denmark","1982","9319",""
"Denmark","1977","14925",""
"Denmark","1972","23256",""
"Denmark","1967","21866",""
"Denmark","1962","2256",""
"Djibouti","2012","-15996",""
"Djibouti","2007","-19965",""
"Djibouti","2002","-18151",""
"Djibouti","1997","-16501",""
"Djibouti","1992","-15000",""
"Djibouti","1987","89998",""
"Djibouti","1982","9999",""
"Djibouti","1977","91193",""
"Djibouti","1972","34997",""
"Djibouti","1967","25000",""
"Djibouti","1962","18000",""
"Dominican Republic","2012","-140000",""
"Dominican Republic","2007","-140000",""
"Dominican Republic","2002","-147502",""
"Dominican Republic","1997","-139414",""
"Dominican Republic","1992","-129183",""
"Dominican Republic","1987","-116650",""
"Dominican Republic","1982","-102692",""
"Dominican Republic","1977","-87354",""
"Dominican Republic","1972","-71253",""
"Dominican Republic","1967","-56764",""
"Dominican Republic","1962","-42782",""
"East Asia & Pacific (all income levels)","2012","-993626",""
"East Asia & Pacific (all income levels)","2007","-3675616",""
"East Asia & Pacific (all income levels)","2002","-2751526",""
"East Asia & Pacific (all income levels)","1997","-102654",""
"East Asia & Pacific (all income levels)","1992","-2277229",""
"East Asia & Pacific (all income levels)","1987","330991",""
"East Asia & Pacific (all income levels)","1982","612132",""
"East Asia & Pacific (all income levels)","1977","-1388101",""
"East Asia & Pacific (all income levels)","1972","-911637",""
"East Asia & Pacific (all income levels)","1967","530923",""
"East Asia & Pacific (all income levels)","1962","-530708",""
"East Asia & Pacific (developing only)","2012","-3060546",""
"East Asia & Pacific (developing only)","2007","-6208980",""
"East Asia & Pacific (developing only)","2002","-4495672",""
"East Asia & Pacific (developing only)","1997","-1054727",""
"East Asia & Pacific (developing only)","1992","-2991557",""
"East Asia & Pacific (developing only)","1987","-450832",""
"East Asia & Pacific (developing only)","1982","-626629",""
"East Asia & Pacific (developing only)","1977","-1845695",""
"East Asia & Pacific (developing only)","1972","-1341801",""
"East Asia & Pacific (developing only)","1967","-680022",""
"East Asia & Pacific (developing only)","1962","-1137769",""
"Ecuador","2012","-30000",""
"Ecuador","2007","-46470",""
"Ecuador","2002","-43463",""
"Ecuador","1997","-27646",""
"Ecuador","1992","-17749",""
"Ecuador","1987","-16314",""
"Ecuador","1982","-12933",""
"Ecuador","1977","-7006",""
"Ecuador","1972","-5219",""
"Ecuador","1967","-5224",""
"Ecuador","1962","-8690",""
"Egypt, Arab Rep.","2012","-215681",""
"Egypt, Arab Rep.","2007","-346922",""
